2025-05-13 12:02:59,396     INFO           main: Installation information:
2025-05-13 12:02:59,396     INFO           main:   Merlin directory: /home/meelis/merlin
2025-05-13 12:02:59,396     INFO           main:   PATH:
2025-05-13 12:02:59,396     INFO           main:       /home/meelis/anaconda3/envs/mrln_et/lib
2025-05-13 12:02:59,396     INFO           main:       /home/meelis/anaconda3/envs/mrln_et/bin
2025-05-13 12:02:59,397     INFO           main:       /home/meelis/anaconda3/condabin
2025-05-13 12:02:59,397     INFO           main:       /usr/local/sbin
2025-05-13 12:02:59,397     INFO           main:       /usr/local/bin
2025-05-13 12:02:59,397     INFO           main:       /usr/sbin
2025-05-13 12:02:59,397     INFO           main:       /usr/bin
2025-05-13 12:02:59,397     INFO           main:       /sbin
2025-05-13 12:02:59,397     INFO           main:       /bin
2025-05-13 12:02:59,397     INFO           main:       /usr/games
2025-05-13 12:02:59,397     INFO           main:       /usr/local/games
2025-05-13 12:02:59,397     INFO           main:       /snap/bin
2025-05-13 12:02:59,397     INFO           main:   LD_LIBRARY_PATH:
2025-05-13 12:02:59,397     INFO           main:   Python version: 3.6.8 |Anaconda, Inc.| (default, Dec 30 2018, 01:22:34) [GCC 7.3.0]
2025-05-13 12:02:59,397     INFO           main:     PYTHONPATH:
2025-05-13 12:02:59,397     INFO           main:   Numpy version: 1.19.5
2025-05-13 12:02:59,397     INFO           main:   Theano version: 1.0.5
2025-05-13 12:02:59,397     INFO           main:     THEANO_FLAGS: device=cuda,floatX=float32,on_unused_input=ignore
2025-05-13 12:02:59,397     INFO           main:     device: cuda
2025-05-13 12:02:59,401     INFO           main: Execution information:
2025-05-13 12:02:59,404     INFO           main:   HOSTNAME: fu.eki.ee
2025-05-13 12:02:59,404     INFO           main:   USER: meelis
2025-05-13 12:02:59,404     INFO           main:   PID: 2999
2025-05-13 12:02:59,425     INFO           main: Input label dimension is 360
2025-05-13 12:02:59,427     INFO           main: preparing label data (input) using standard HTS style labels
2025-05-13 12:02:59,429     INFO         labels: loaded /home/meelis/merlin/egs/build_your_own_voice/s1/experiments/eva_laused/test_synthesis/prompt-lab/temp00.lab,   6 labels
